#    L    TT             EE             BB             TE          
   187    0.52535E+04    0.70975E+00    0.98817E-02   -0.27708E+02
   188    0.52720E+04    0.70210E+00    0.10001E-01   -0.26772E+02
   189    0.52899E+04    0.69484E+00    0.10120E-01   -0.25811E+02
   190    0.53077E+04    0.68805E+00    0.10241E-01   -0.24826E+02
   191    0.53246E+04    0.68172E+00    0.10362E-01   -0.23816E+02
   192    0.53411E+04    0.67590E+00    0.10484E-01   -0.22781E+02
   193    0.53570E+04    0.67061E+00    0.10607E-01   -0.21724E+02
   194    0.53726E+04    0.66590E+00    0.10730E-01   -0.20643E+02
   195    0.53875E+04    0.66179E+00    0.10854E-01   -0.19539E+02
   196    0.54019E+04    0.65832E+00    0.10979E-01   -0.18411E+02
   197    0.54158E+04    0.65554E+00    0.11105E-01   -0.17263E+02
   198    0.54292E+04    0.65346E+00    0.11231E-01   -0.16091E+02
   199    0.54421E+04    0.65213E+00    0.11359E-01   -0.14898E+02
   200    0.54545E+04    0.65157E+00    0.11486E-01   -0.13685E+02
   201    0.54663E+04    0.65184E+00    0.11615E-01   -0.12449E+02
   202    0.54776E+04    0.65295E+00    0.11744E-01   -0.11194E+02
   203    0.54883E+04    0.65496E+00    0.11874E-01   -0.99171E+01
   204    0.54983E+04    0.65787E+00    0.12004E-01   -0.86227E+01
   205    0.55078E+04    0.66175E+00    0.12135E-01   -0.73080E+01
   206    0.55167E+04    0.66663E+00    0.12267E-01   -0.59745E+01
   207    0.55250E+04    0.67252E+00    0.12399E-01   -0.46224E+01
   208    0.55326E+04    0.67948E+00    0.12532E-01   -0.32524E+01
   209    0.55397E+04    0.68753E+00    0.12665E-01   -0.18647E+01
   210    0.55461E+04    0.69671E+00    0.12799E-01   -0.46031E+00
   211    0.55520E+04    0.70707E+00    0.12934E-01    0.96078E+00
   212    0.55571E+04    0.71862E+00    0.13069E-01    0.23976E+01
   213    0.55617E+04    0.73141E+00    0.13204E-01    0.38503E+01
   214    0.55656E+04    0.74544E+00    0.13340E-01    0.53176E+01
   215    0.55690E+04    0.76088E+00    0.13477E-01    0.67987E+01
   216    0.55717E+04    0.77757E+00    0.13614E-01    0.82943E+01
   217    0.55738E+04    0.79564E+00    0.13751E-01    0.98023E+01
   218    0.55754E+04    0.81511E+00    0.13889E-01    0.11323E+02
   219    0.55763E+04    0.83596E+00    0.14027E-01    0.12857E+02
   220    0.55766E+04    0.85835E+00    0.14166E-01    0.14401E+02
   221    0.55764E+04    0.88220E+00    0.14305E-01    0.15956E+02
   222    0.55756E+04    0.90766E+00    0.14444E-01    0.17520E+02
   223    0.55740E+04    0.93465E+00    0.14584E-01    0.19096E+02
   224    0.55720E+04    0.96317E+00    0.14724E-01    0.20678E+02
   225    0.55693E+04    0.99337E+00    0.14864E-01    0.22271E+02
   226    0.55661E+04    0.10252E+01    0.15005E-01    0.23870E+02
   227    0.55621E+04    0.10588E+01    0.15146E-01    0.25476E+02
