#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    54    0.14595E+04   -0.41475E+00    0.14165E-04    0.58524E-01    0.59374E-01   -0.41475E+00    0.14412E+00   -0.85302E-08    0.15834E-07    0.68744E-05    0.14165E-04   -0.85302E-08    0.41903E-10    0.22369E-06    0.16656E-06    0.58524E-01    0.15834E-07    0.22369E-06    0.20444E-01    0.63277E-04    0.59374E-01    0.68744E-05    0.16656E-06    0.63277E-04    0.17028E-02
    55    0.14800E+04   -0.65228E+00    0.13621E-04    0.57427E-01    0.58699E-01   -0.65228E+00    0.15283E+00   -0.78795E-08    0.14514E-07    0.55617E-05    0.13621E-04   -0.78795E-08    0.40210E-10    0.21941E-06    0.16467E-06    0.57427E-01    0.14514E-07    0.21941E-06    0.20792E-01    0.65325E-04    0.58699E-01    0.55617E-05    0.16467E-06    0.65325E-04    0.17456E-02
    56    0.15008E+04   -0.90222E+00    0.13113E-04    0.56340E-01    0.58024E-01   -0.90222E+00    0.16178E+00   -0.70984E-08    0.11989E-07    0.46211E-05    0.13113E-04   -0.70984E-08    0.38606E-10    0.21517E-06    0.16279E-06    0.56340E-01    0.11989E-07    0.21517E-06    0.21124E-01    0.67395E-04    0.58024E-01    0.46211E-05    0.16279E-06    0.67395E-04    0.17879E-02
    57    0.15219E+04   -0.11644E+01    0.12637E-04    0.55262E-01    0.57350E-01   -0.11644E+01    0.17087E+00   -0.62369E-08    0.84403E-08    0.40488E-05    0.12637E-04   -0.62369E-08    0.37085E-10    0.21098E-06    0.16090E-06    0.55262E-01    0.84403E-08    0.21098E-06    0.21439E-01    0.69474E-04    0.57350E-01    0.40488E-05    0.16090E-06    0.69474E-04    0.18298E-02
    58    0.15432E+04   -0.14394E+01    0.12189E-04    0.54193E-01    0.56678E-01   -0.14394E+01    0.18011E+00   -0.53280E-08    0.46092E-08    0.38147E-05    0.12189E-04   -0.53280E-08    0.35643E-10    0.20683E-06    0.15901E-06    0.54193E-01    0.46092E-08    0.20683E-06    0.21736E-01    0.71548E-04    0.56678E-01    0.38147E-05    0.15901E-06    0.71548E-04    0.18713E-02
    59    0.15648E+04   -0.17278E+01    0.11764E-04    0.53134E-01    0.56009E-01   -0.17278E+01    0.18954E+00   -0.44045E-08    0.12385E-08    0.38882E-05    0.11764E-04   -0.44045E-08    0.34274E-10    0.20273E-06    0.15713E-06    0.53134E-01    0.12385E-08    0.20273E-06    0.22016E-01    0.73603E-04    0.56009E-01    0.38882E-05    0.15713E-06    0.73603E-04    0.19123E-02
    60    0.15865E+04   -0.20288E+01    0.11359E-04    0.52083E-01    0.55342E-01   -0.20288E+01    0.19922E+00   -0.34993E-08   -0.92930E-09    0.42393E-05    0.11359E-04   -0.34993E-08    0.32973E-10    0.19867E-06    0.15525E-06    0.52083E-01   -0.92930E-09    0.19867E-06    0.22279E-01    0.75626E-04    0.55342E-01    0.42393E-05    0.15525E-06    0.75626E-04    0.19528E-02
    61    0.16086E+04   -0.23414E+01    0.10970E-04    0.51043E-01    0.54680E-01   -0.23414E+01    0.20924E+00   -0.26438E-08   -0.13711E-08    0.48285E-05    0.10970E-04   -0.26438E-08    0.31735E-10    0.19467E-06    0.15338E-06    0.51043E-01   -0.13711E-08    0.19467E-06    0.22524E-01    0.77604E-04    0.54680E-01    0.48285E-05    0.15338E-06    0.77604E-04    0.19929E-02
    62    0.16307E+04   -0.26666E+01    0.10595E-04    0.50013E-01    0.54023E-01   -0.26666E+01    0.21958E+00   -0.18625E-08   -0.44181E-09    0.55801E-05    0.10595E-04   -0.18625E-08    0.30558E-10    0.19072E-06    0.15153E-06    0.50013E-01   -0.44181E-09    0.19072E-06    0.22754E-01    0.79526E-04    0.54023E-01    0.55801E-05    0.15153E-06    0.79526E-04    0.20326E-02
    63    0.16528E+04   -0.30055E+01    0.10234E-04    0.48995E-01    0.53370E-01   -0.30055E+01    0.23022E+00   -0.11784E-08    0.12844E-08    0.64093E-05    0.10234E-04   -0.11784E-08    0.29437E-10    0.18682E-06    0.14968E-06    0.48995E-01    0.12844E-08    0.18682E-06    0.22968E-01    0.81383E-04    0.53370E-01    0.64093E-05    0.14968E-06    0.81383E-04    0.20718E-02
    64    0.16754E+04   -0.33594E+01    0.98863E-05    0.47992E-01    0.52723E-01   -0.33594E+01    0.24115E+00   -0.61446E-09    0.32333E-08    0.72315E-05    0.98863E-05   -0.61446E-09    0.28369E-10    0.18299E-06    0.14786E-06    0.47992E-01    0.32333E-08    0.18299E-06    0.23169E-01    0.83166E-04    0.52723E-01    0.72315E-05    0.14786E-06    0.83166E-04    0.21106E-02
    65    0.16980E+04   -0.37290E+01    0.95501E-05    0.47004E-01    0.52082E-01   -0.37290E+01    0.25235E+00   -0.19375E-09    0.48305E-08    0.79617E-05    0.95501E-05   -0.19375E-09    0.27352E-10    0.17923E-06    0.14605E-06    0.47004E-01    0.48305E-08    0.17923E-06    0.23357E-01    0.84864E-04    0.52082E-01    0.79617E-05    0.14605E-06    0.84864E-04    0.21489E-02
    66    0.17209E+04   -0.41125E+01    0.92251E-05    0.46032E-01    0.51448E-01   -0.41125E+01    0.26374E+00    0.62926E-10    0.56165E-08    0.85309E-05    0.92251E-05    0.62926E-10    0.26382E-10    0.17553E-06    0.14426E-06    0.46032E-01    0.56165E-08    0.17553E-06    0.23535E-01    0.86471E-04    0.51448E-01    0.85309E-05    0.14426E-06    0.86471E-04    0.21869E-02
