#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    37    0.11366E+04    0.17642E+01    0.30080E-04    0.82252E-01    0.75255E-01    0.17642E+01    0.42076E-01   -0.16348E-07    0.21939E-05    0.10474E-04    0.30080E-04   -0.16348E-07    0.93902E-10    0.31549E-06    0.21509E-06    0.82252E-01    0.21939E-05    0.31549E-06    0.13342E-01    0.33613E-03    0.75255E-01    0.10474E-04    0.21509E-06    0.33613E-03    0.10308E-02
    38    0.11541E+04    0.17192E+01    0.28601E-04    0.80280E-01    0.74781E-01    0.17192E+01    0.46002E-01   -0.10959E-07    0.18730E-05    0.98809E-05    0.28601E-04   -0.10959E-07    0.88935E-10    0.30797E-06    0.21364E-06    0.80280E-01    0.18730E-05    0.30797E-06    0.13746E-01    0.34565E-03    0.74781E-01    0.98809E-05    0.21364E-06    0.34565E-03    0.10807E-02
    39    0.11720E+04    0.16636E+01    0.27235E-04    0.78428E-01    0.74277E-01    0.16636E+01    0.50165E-01   -0.79169E-08    0.15397E-05    0.96884E-05    0.27235E-04   -0.79169E-08    0.84321E-10    0.30090E-06    0.21208E-06    0.78428E-01    0.15397E-05    0.30090E-06    0.14158E-01    0.35528E-03    0.74277E-01    0.96884E-05    0.21208E-06    0.35528E-03    0.11308E-02
    40    0.11900E+04    0.16006E+01    0.25963E-04    0.76684E-01    0.73743E-01    0.16006E+01    0.54584E-01   -0.58740E-08    0.12293E-05    0.10057E-04    0.25963E-04   -0.58740E-08    0.80027E-10    0.29423E-06    0.21044E-06    0.76684E-01    0.12293E-05    0.29423E-06    0.14577E-01    0.36504E-03    0.73743E-01    0.10057E-04    0.21044E-06    0.36504E-03    0.11809E-02
    41    0.12082E+04    0.15319E+01    0.24763E-04    0.75035E-01    0.73179E-01    0.15319E+01    0.59281E-01   -0.37616E-08    0.97014E-06    0.11072E-04    0.24763E-04   -0.37616E-08    0.76021E-10    0.28791E-06    0.20872E-06    0.75035E-01    0.97014E-06    0.28791E-06    0.15004E-01    0.37493E-03    0.73179E-01    0.11072E-04    0.20872E-06    0.37493E-03    0.12312E-02
    42    0.12264E+04    0.14555E+01    0.23632E-04    0.73472E-01    0.72586E-01    0.14555E+01    0.64257E-01   -0.16256E-08    0.76116E-06    0.12527E-04    0.23632E-04   -0.16256E-08    0.72281E-10    0.28191E-06    0.20692E-06    0.73472E-01    0.76116E-06    0.28191E-06    0.15437E-01    0.38493E-03    0.72586E-01    0.12527E-04    0.20692E-06    0.38493E-03    0.12813E-02
    43    0.12448E+04    0.13687E+01    0.22567E-04    0.71987E-01    0.71966E-01    0.13687E+01    0.69508E-01    0.20895E-09    0.59415E-06    0.14140E-04    0.22567E-04    0.20895E-09    0.68788E-10    0.27618E-06    0.20506E-06    0.71987E-01    0.59415E-06    0.27618E-06    0.15873E-01    0.39503E-03    0.71966E-01    0.14140E-04    0.20506E-06    0.39503E-03    0.13314E-02
    44    0.12632E+04    0.12696E+01    0.21565E-04    0.70568E-01    0.71322E-01    0.12696E+01    0.75014E-01    0.14175E-08    0.46090E-06    0.15628E-04    0.21565E-04    0.14175E-08    0.65520E-10    0.27070E-06    0.20314E-06    0.70568E-01    0.46090E-06    0.27070E-06    0.16312E-01    0.40521E-03    0.71322E-01    0.15628E-04    0.20314E-06    0.40521E-03    0.13814E-02
    45    0.12819E+04    0.11562E+01    0.20623E-04    0.69208E-01    0.70657E-01    0.11562E+01    0.80769E-01    0.16751E-08    0.35316E-06    0.16710E-04    0.20623E-04    0.16751E-08    0.62459E-10    0.26543E-06    0.20117E-06    0.69208E-01    0.35316E-06    0.26543E-06    0.16751E-01    0.41546E-03    0.70657E-01    0.16710E-04    0.20117E-06    0.41546E-03    0.14312E-02
    46    0.13009E+04    0.10255E+01    0.19740E-04    0.67897E-01    0.69972E-01    0.10255E+01    0.86768E-01    0.78018E-09    0.26388E-06    0.17165E-04    0.19740E-04    0.78018E-09    0.59585E-10    0.26033E-06    0.19915E-06    0.67897E-01    0.26388E-06    0.26033E-06    0.17190E-01    0.42576E-03    0.69972E-01    0.17165E-04    0.19915E-06    0.42576E-03    0.14807E-02
    47    0.13201E+04    0.87924E+00    0.18909E-04    0.66629E-01    0.69270E-01    0.87924E+00    0.93014E-01   -0.97679E-09    0.19073E-06    0.17020E-04    0.18909E-04   -0.97679E-09    0.56885E-10    0.25539E-06    0.19710E-06    0.66629E-01    0.19073E-06    0.25539E-06    0.17626E-01    0.43607E-03    0.69270E-01    0.17020E-04    0.19710E-06    0.43607E-03    0.15300E-02
    48    0.13393E+04    0.72311E+00    0.18125E-04    0.65398E-01    0.68553E-01    0.72311E+00    0.99517E-01   -0.31822E-08    0.13251E-06    0.16363E-04    0.18125E-04   -0.31822E-08    0.54347E-10    0.25058E-06    0.19502E-06    0.65398E-01    0.13251E-06    0.25058E-06    0.18057E-01    0.44637E-03    0.68553E-01    0.16363E-04    0.19502E-06    0.44637E-03    0.15789E-02
    49    0.13587E+04    0.56215E+00    0.17382E-04    0.64199E-01    0.67825E-01    0.56215E+00    0.10627E+00   -0.54224E-08    0.88077E-07    0.15283E-04    0.17382E-04   -0.54224E-08    0.51959E-10    0.24589E-06    0.19291E-06    0.64199E-01    0.88077E-07    0.24589E-06    0.18481E-01    0.45663E-03    0.67825E-01    0.15283E-04    0.19291E-06    0.45663E-03    0.16276E-02
    50    0.13785E+04    0.39465E+00    0.16675E-04    0.63025E-01    0.67086E-01    0.39465E+00    0.11325E+00   -0.72838E-08    0.56242E-07    0.13867E-04    0.16675E-04   -0.72838E-08    0.49709E-10    0.24129E-06    0.19078E-06    0.63025E-01    0.56242E-07    0.24129E-06    0.18896E-01    0.46682E-03    0.67086E-01    0.13867E-04    0.19078E-06    0.46682E-03    0.16758E-02
    51    0.13985E+04    0.21706E+00    0.15999E-04    0.61872E-01    0.66340E-01    0.21706E+00    0.12043E+00   -0.84444E-08    0.35593E-07    0.12211E-04    0.15999E-04   -0.84444E-08    0.47587E-10    0.23678E-06    0.18864E-06    0.61872E-01    0.35593E-07    0.23678E-06    0.19301E-01    0.47692E-03    0.66340E-01    0.12211E-04    0.18864E-06    0.47692E-03    0.17237E-02
    52    0.14188E+04    0.24159E-01    0.15355E-04    0.60737E-01    0.65588E-01    0.24159E-01    0.12790E+00   -0.89485E-08    0.23735E-07    0.10437E-04    0.15355E-04   -0.89485E-08    0.45584E-10    0.23233E-06    0.18648E-06    0.60737E-01    0.23735E-07    0.23233E-06    0.19694E-01    0.48689E-03    0.65588E-01    0.10437E-04    0.18648E-06    0.48689E-03    0.17712E-02
    53    0.14392E+04   -0.18784E+00    0.14743E-04    0.59617E-01    0.64833E-01   -0.18784E+00    0.13580E+00   -0.89318E-08    0.18030E-07    0.86775E-05    0.14743E-04   -0.89318E-08    0.43691E-10    0.22794E-06    0.18432E-06    0.59617E-01    0.18030E-07    0.22794E-06    0.20073E-01    0.49670E-03    0.64833E-01    0.86775E-05    0.18432E-06    0.49670E-03    0.18182E-02
    54    0.14595E+04   -0.41475E+00    0.14165E-04    0.58510E-01    0.64077E-01   -0.41475E+00    0.14412E+00   -0.85302E-08    0.15836E-07    0.70616E-05    0.14165E-04   -0.85302E-08    0.41903E-10    0.22361E-06    0.18216E-06    0.58510E-01    0.15836E-07    0.22361E-06    0.20437E-01    0.50633E-03    0.64077E-01    0.70616E-05    0.18216E-06    0.50633E-03    0.18649E-02
    55    0.14800E+04   -0.65228E+00    0.13621E-04    0.57414E-01    0.63321E-01   -0.65228E+00    0.15283E+00   -0.78795E-08    0.14515E-07    0.57201E-05    0.13621E-04   -0.78795E-08    0.40210E-10    0.21933E-06    0.17999E-06    0.57414E-01    0.14515E-07    0.21933E-06    0.20786E-01    0.51576E-03    0.63321E-01    0.57201E-05    0.17999E-06    0.51576E-03    0.19110E-02
    56    0.15008E+04   -0.90222E+00    0.13113E-04    0.56327E-01    0.62567E-01   -0.90222E+00    0.16178E+00   -0.70984E-08    0.11990E-07    0.47567E-05    0.13113E-04   -0.70984E-08    0.38606E-10    0.21510E-06    0.17783E-06    0.56327E-01    0.11990E-07    0.21510E-06    0.21117E-01    0.52495E-03    0.62567E-01    0.47567E-05    0.17783E-06    0.52495E-03    0.19568E-02
    57    0.15219E+04   -0.11644E+01    0.12637E-04    0.55250E-01    0.61816E-01   -0.11644E+01    0.17087E+00   -0.62369E-08    0.84409E-08    0.41682E-05    0.12637E-04   -0.62369E-08    0.37085E-10    0.21091E-06    0.17568E-06    0.55250E-01    0.84409E-08    0.21091E-06    0.21432E-01    0.53388E-03    0.61816E-01    0.41682E-05    0.17568E-06    0.53388E-03    0.20020E-02
