#    L    TxT            TxE            TxP            TxW1           ExT            ExE            ExP            ExW1           PxT            PxE            PxP            PxW1           W1xT           W1xE           W1xP           W1xW1       
    53    0.14392E+04   -0.18776E+00    0.14741E-04    0.25032E-01   -0.18776E+00    0.13580E+00   -0.89620E-08   -0.56707E-08    0.14741E-04   -0.89620E-08    0.43708E-10    0.15467E-06    0.25032E-01   -0.56707E-08    0.15467E-06    0.31641E-01
    54    0.14595E+04   -0.41464E+00    0.14163E-04    0.24363E-01   -0.41464E+00    0.14412E+00   -0.85266E-08   -0.54433E-08    0.14163E-04   -0.85266E-08    0.41919E-10    0.15083E-06    0.24363E-01   -0.54433E-08    0.15083E-06    0.32033E-01
    55    0.14800E+04   -0.65215E+00    0.13620E-04    0.23722E-01   -0.65215E+00    0.15283E+00   -0.78518E-08   -0.48028E-08    0.13620E-04   -0.78518E-08    0.40226E-10    0.14715E-06    0.23722E-01   -0.48028E-08    0.14715E-06    0.32415E-01
    56    0.15008E+04   -0.90209E+00    0.13112E-04    0.23109E-01   -0.90209E+00    0.16178E+00   -0.70629E-08   -0.37514E-08    0.13112E-04   -0.70629E-08    0.38622E-10    0.14362E-06    0.23109E-01   -0.37514E-08    0.14362E-06    0.32786E-01
    57    0.15219E+04   -0.11643E+01    0.12636E-04    0.22520E-01   -0.11643E+01    0.17087E+00   -0.62069E-08   -0.24092E-08    0.12636E-04   -0.62069E-08    0.37101E-10    0.14023E-06    0.22520E-01   -0.24092E-08    0.14023E-06    0.33146E-01
    58    0.15433E+04   -0.14393E+01    0.12188E-04    0.21955E-01   -0.14393E+01    0.18011E+00   -0.53107E-08   -0.92613E-09    0.12188E-04   -0.53107E-08    0.35658E-10    0.13698E-06    0.21955E-01   -0.92613E-09    0.13698E-06    0.33495E-01
    59    0.15648E+04   -0.17277E+01    0.11763E-04    0.21411E-01   -0.17277E+01    0.18954E+00   -0.44014E-08    0.54821E-09    0.11763E-04   -0.44014E-08    0.34289E-10    0.13385E-06    0.21411E-01    0.54821E-09    0.13385E-06    0.33833E-01
    60    0.15865E+04   -0.20287E+01    0.11358E-04    0.20888E-01   -0.20287E+01    0.19922E+00   -0.35062E-08    0.18640E-08    0.11358E-04   -0.35062E-08    0.32988E-10    0.13083E-06    0.20888E-01    0.18640E-08    0.13083E-06    0.34161E-01
    61    0.16087E+04   -0.23413E+01    0.10969E-04    0.20382E-01   -0.23413E+01    0.20924E+00   -0.26519E-08    0.28976E-08    0.10969E-04   -0.26519E-08    0.31750E-10    0.12791E-06    0.20382E-01    0.28976E-08    0.12791E-06    0.34479E-01
    62    0.16307E+04   -0.26665E+01    0.10594E-04    0.19894E-01   -0.26665E+01    0.21959E+00   -0.18655E-08    0.36288E-08    0.10594E-04   -0.18655E-08    0.30572E-10    0.12510E-06    0.19894E-01    0.36288E-08    0.12510E-06    0.34789E-01
    63    0.16529E+04   -0.30054E+01    0.10233E-04    0.19421E-01   -0.30054E+01    0.23022E+00   -0.11734E-08    0.40639E-08    0.10233E-04   -0.11734E-08    0.29451E-10    0.12237E-06    0.19421E-01    0.40639E-08    0.12237E-06    0.35091E-01
    64    0.16754E+04   -0.33593E+01    0.98853E-05    0.18964E-01   -0.33593E+01    0.24115E+00   -0.60242E-09    0.42086E-08    0.98853E-05   -0.60242E-09    0.28383E-10    0.11974E-06    0.18964E-01    0.42086E-08    0.11974E-06    0.35387E-01
    65    0.16980E+04   -0.37289E+01    0.95490E-05    0.18520E-01   -0.37289E+01    0.25235E+00   -0.17917E-09    0.40692E-08    0.95490E-05   -0.17917E-09    0.27366E-10    0.11720E-06    0.18520E-01    0.40692E-08    0.11720E-06    0.35679E-01
    66    0.17209E+04   -0.41123E+01    0.92240E-05    0.18089E-01   -0.41123E+01    0.26374E+00    0.72916E-10    0.36636E-08    0.92240E-05    0.72916E-10    0.26396E-10    0.11473E-06    0.18089E-01    0.36636E-08    0.11473E-06    0.35967E-01
