#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    50    0.13785E+04    0.39474E+00    0.16674E-04    0.31359E-01    0.37492E-01    0.39474E+00    0.11325E+00   -0.74034E-08   -0.43397E-08   -0.30187E-08    0.16674E-04   -0.74034E-08    0.49725E-10    0.17401E-06    0.18372E-06    0.31359E-01   -0.43397E-08    0.17401E-06    0.27576E-01    0.22493E-01    0.37492E-01   -0.30187E-08    0.18372E-06    0.22493E-01    0.24723E-01
    51    0.13985E+04    0.21717E+00    0.15999E-04    0.30457E-01    0.36398E-01    0.21717E+00    0.12043E+00   -0.85563E-08   -0.54924E-08   -0.42541E-08    0.15999E-04   -0.85563E-08    0.47602E-10    0.16926E-06    0.17851E-06    0.30457E-01   -0.54924E-08    0.16926E-06    0.27937E-01    0.22741E-01    0.36398E-01   -0.42541E-08    0.17851E-06    0.22741E-01    0.24942E-01
    52    0.14189E+04    0.24297E-01    0.15354E-04    0.29601E-01    0.35349E-01    0.24297E-01    0.12790E+00   -0.90296E-08   -0.63379E-08   -0.52063E-08    0.15354E-04   -0.90296E-08    0.45599E-10    0.16476E-06    0.17354E-06    0.29601E-01   -0.63379E-08    0.16476E-06    0.28306E-01    0.23001E-01    0.35349E-01   -0.52063E-08    0.17354E-06    0.23001E-01    0.25168E-01
    53    0.14392E+04   -0.18766E+00    0.14742E-04    0.28787E-01    0.34344E-01   -0.18766E+00    0.13580E+00   -0.89708E-08   -0.67855E-08   -0.57911E-08    0.14742E-04   -0.89708E-08    0.43706E-10    0.16050E-06    0.16880E-06    0.28787E-01   -0.67855E-08    0.16050E-06    0.28682E-01    0.23272E-01    0.34344E-01   -0.57911E-08    0.16880E-06    0.23272E-01    0.25403E-01
    54    0.14595E+04   -0.41454E+00    0.14164E-04    0.28014E-01    0.33384E-01   -0.41454E+00    0.14412E+00   -0.85274E-08   -0.67441E-08   -0.59240E-08    0.14164E-04   -0.85274E-08    0.41918E-10    0.15644E-06    0.16429E-06    0.28014E-01   -0.67441E-08    0.15644E-06    0.29063E-01    0.23553E-01    0.33384E-01   -0.59240E-08    0.16429E-06    0.23553E-01    0.25650E-01
    55    0.14800E+04   -0.65205E+00    0.13621E-04    0.27278E-01    0.32469E-01   -0.65205E+00    0.15283E+00   -0.78467E-08   -0.61229E-08   -0.55209E-08    0.13621E-04   -0.78467E-08    0.40225E-10    0.15259E-06    0.16000E-06    0.27278E-01   -0.61229E-08    0.15259E-06    0.29444E-01    0.23843E-01    0.32469E-01   -0.55209E-08    0.16000E-06    0.23843E-01    0.25911E-01
    56    0.15008E+04   -0.90198E+00    0.13113E-04    0.26578E-01    0.31597E-01   -0.90198E+00    0.16178E+00   -0.70560E-08   -0.48777E-08   -0.45271E-08    0.13113E-04   -0.70560E-08    0.38620E-10    0.14892E-06    0.15592E-06    0.26578E-01   -0.48777E-08    0.14892E-06    0.29825E-01    0.24143E-01    0.31597E-01   -0.45271E-08    0.15592E-06    0.24143E-01    0.26186E-01
    57    0.15219E+04   -0.11642E+01    0.12637E-04    0.25910E-01    0.30768E-01   -0.11642E+01    0.17087E+00   -0.62012E-08   -0.31515E-08   -0.30079E-08    0.12637E-04   -0.62012E-08    0.37099E-10    0.14541E-06    0.15205E-06    0.25910E-01   -0.31515E-08    0.14541E-06    0.30203E-01    0.24450E-01    0.30768E-01   -0.30079E-08    0.15205E-06    0.24450E-01    0.26475E-01
    58    0.15432E+04   -0.14392E+01    0.12189E-04    0.25274E-01    0.29980E-01   -0.14392E+01    0.18011E+00   -0.53080E-08   -0.11339E-08   -0.10583E-08    0.12189E-04   -0.53080E-08    0.35657E-10    0.14206E-06    0.14838E-06    0.25274E-01   -0.11339E-08    0.14206E-06    0.30576E-01    0.24762E-01    0.29980E-01   -0.10583E-08    0.14838E-06    0.24762E-01    0.26778E-01
    59    0.15648E+04   -0.17276E+01    0.11764E-04    0.24665E-01    0.29232E-01   -0.17276E+01    0.18954E+00   -0.44021E-08    0.98560E-09    0.12266E-08    0.11764E-04   -0.44021E-08    0.34287E-10    0.13885E-06    0.14489E-06    0.24665E-01    0.98560E-09    0.13885E-06    0.30941E-01    0.25076E-01    0.29232E-01    0.12266E-08    0.14489E-06    0.25076E-01    0.27092E-01
