#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    43    0.12448E+04    0.13687E+01    0.22567E-04    0.72041E-01    0.71934E-01    0.13687E+01    0.69508E-01    0.20891E-09    0.60999E-06    0.14115E-04    0.22567E-04    0.20891E-09    0.68788E-10    0.27628E-06    0.20500E-06    0.72041E-01    0.60999E-06    0.27628E-06    0.15773E-01    0.39649E-03    0.71934E-01    0.14115E-04    0.20500E-06    0.39649E-03    0.13257E-02
    44    0.12632E+04    0.12696E+01    0.21565E-04    0.70617E-01    0.71292E-01    0.12696E+01    0.75014E-01    0.14174E-08    0.47523E-06    0.15597E-04    0.21565E-04    0.14174E-08    0.65521E-10    0.27079E-06    0.20309E-06    0.70617E-01    0.47523E-06    0.27079E-06    0.16213E-01    0.40663E-03    0.71292E-01    0.15597E-04    0.20309E-06    0.40663E-03    0.13757E-02
    45    0.12819E+04    0.11562E+01    0.20624E-04    0.69252E-01    0.70628E-01    0.11562E+01    0.80769E-01    0.16751E-08    0.36573E-06    0.16677E-04    0.20624E-04    0.16751E-08    0.62459E-10    0.26550E-06    0.20112E-06    0.69252E-01    0.36573E-06    0.26550E-06    0.16654E-01    0.41684E-03    0.70628E-01    0.16677E-04    0.20112E-06    0.41684E-03    0.14255E-02
    46    0.13009E+04    0.10255E+01    0.19740E-04    0.67936E-01    0.69945E-01    0.10255E+01    0.86768E-01    0.78011E-09    0.27458E-06    0.17138E-04    0.19740E-04    0.78011E-09    0.59585E-10    0.26039E-06    0.19911E-06    0.67936E-01    0.27458E-06    0.26039E-06    0.17094E-01    0.42709E-03    0.69945E-01    0.17138E-04    0.19911E-06    0.42709E-03    0.14750E-02
    47    0.13201E+04    0.87927E+00    0.18909E-04    0.66664E-01    0.69245E-01    0.87927E+00    0.93014E-01   -0.97689E-09    0.19951E-06    0.17003E-04    0.18909E-04   -0.97689E-09    0.56885E-10    0.25544E-06    0.19706E-06    0.66664E-01    0.19951E-06    0.25544E-06    0.17531E-01    0.43737E-03    0.69245E-01    0.17003E-04    0.19706E-06    0.43737E-03    0.15243E-02
    48    0.13393E+04    0.72314E+00    0.18125E-04    0.65430E-01    0.68530E-01    0.72314E+00    0.99517E-01   -0.31823E-08    0.13947E-06    0.16359E-04    0.18125E-04   -0.31823E-08    0.54347E-10    0.25062E-06    0.19498E-06    0.65430E-01    0.13947E-06    0.25062E-06    0.17963E-01    0.44763E-03    0.68530E-01    0.16359E-04    0.19498E-06    0.44763E-03    0.15733E-02
    49    0.13587E+04    0.56219E+00    0.17382E-04    0.64227E-01    0.67803E-01    0.56219E+00    0.10627E+00   -0.54225E-08    0.93366E-07    0.15290E-04    0.17382E-04   -0.54225E-08    0.51959E-10    0.24592E-06    0.19288E-06    0.64227E-01    0.93366E-07    0.24592E-06    0.18388E-01    0.45786E-03    0.67803E-01    0.15290E-04    0.19288E-06    0.45786E-03    0.16220E-02
    50    0.13785E+04    0.39469E+00    0.16675E-04    0.63051E-01    0.67066E-01    0.39469E+00    0.11325E+00   -0.72840E-08    0.60137E-07    0.13882E-04    0.16675E-04   -0.72840E-08    0.49709E-10    0.24132E-06    0.19075E-06    0.63051E-01    0.60137E-07    0.24132E-06    0.18804E-01    0.46802E-03    0.67066E-01    0.13882E-04    0.19075E-06    0.46802E-03    0.16703E-02
    51    0.13985E+04    0.21711E+00    0.15999E-04    0.61895E-01    0.66321E-01    0.21711E+00    0.12043E+00   -0.84446E-08    0.38432E-07    0.12229E-04    0.15999E-04   -0.84446E-08    0.47587E-10    0.23680E-06    0.18861E-06    0.61895E-01    0.38432E-07    0.23680E-06    0.19210E-01    0.47809E-03    0.66321E-01    0.12229E-04    0.18861E-06    0.47809E-03    0.17182E-02
    52    0.14189E+04    0.24212E-01    0.15355E-04    0.60758E-01    0.65571E-01    0.24212E-01    0.12790E+00   -0.89486E-08    0.25816E-07    0.10455E-04    0.15355E-04   -0.89486E-08    0.45584E-10    0.23235E-06    0.18646E-06    0.60758E-01    0.25816E-07    0.23235E-06    0.19604E-01    0.48803E-03    0.65571E-01    0.10455E-04    0.18646E-06    0.48803E-03    0.17657E-02
    53    0.14392E+04   -0.18778E+00    0.14743E-04    0.59636E-01    0.64817E-01   -0.18778E+00    0.13580E+00   -0.89319E-08    0.19582E-07    0.86910E-05    0.14743E-04   -0.89319E-08    0.43691E-10    0.22796E-06    0.18430E-06    0.59636E-01    0.19582E-07    0.22796E-06    0.19984E-01    0.49782E-03    0.64817E-01    0.86910E-05    0.18430E-06    0.49782E-03    0.18128E-02
    54    0.14595E+04   -0.41468E+00    0.14165E-04    0.58528E-01    0.64062E-01   -0.41468E+00    0.14412E+00   -0.85302E-08    0.17022E-07    0.70698E-05    0.14165E-04   -0.85302E-08    0.41903E-10    0.22363E-06    0.18214E-06    0.58528E-01    0.17022E-07    0.22363E-06    0.20350E-01    0.50743E-03    0.64062E-01    0.70698E-05    0.18214E-06    0.50743E-03    0.18595E-02
    55    0.14800E+04   -0.65221E+00    0.13621E-04    0.57431E-01    0.63307E-01   -0.65221E+00    0.15283E+00   -0.78795E-08    0.15427E-07    0.57231E-05    0.13621E-04   -0.78795E-08    0.40210E-10    0.21934E-06    0.17997E-06    0.57431E-01    0.15427E-07    0.21934E-06    0.20700E-01    0.51683E-03    0.63307E-01    0.57231E-05    0.17997E-06    0.51683E-03    0.19057E-02
    56    0.15008E+04   -0.90214E+00    0.13113E-04    0.56344E-01    0.62554E-01   -0.90214E+00    0.16178E+00   -0.70984E-08    0.12667E-07    0.47557E-05    0.13113E-04   -0.70984E-08    0.38606E-10    0.21511E-06    0.17782E-06    0.56344E-01    0.12667E-07    0.21511E-06    0.21033E-01    0.52601E-03    0.62554E-01    0.47557E-05    0.17782E-06    0.52601E-03    0.19515E-02
    57    0.15219E+04   -0.11643E+01    0.12637E-04    0.55265E-01    0.61804E-01   -0.11643E+01    0.17087E+00   -0.62369E-08    0.89107E-08    0.41647E-05    0.12637E-04   -0.62369E-08    0.37085E-10    0.21092E-06    0.17566E-06    0.55265E-01    0.89107E-08    0.21092E-06    0.21348E-01    0.53493E-03    0.61804E-01    0.41647E-05    0.17566E-06    0.53493E-03    0.19968E-02
    58    0.15432E+04   -0.14393E+01    0.12189E-04    0.54196E-01    0.61058E-01   -0.14393E+01    0.18011E+00   -0.53280E-08    0.49053E-08    0.39199E-05    0.12189E-04   -0.53280E-08    0.35643E-10    0.20677E-06    0.17352E-06    0.54196E-01    0.49053E-08    0.20677E-06    0.21647E-01    0.54359E-03    0.61058E-01    0.39199E-05    0.17352E-06    0.54359E-03    0.20416E-02
