#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    37    0.11366E+04    0.17642E+01    0.30080E-04    0.82370E-01    0.68761E-01    0.17642E+01    0.42076E-01   -0.16348E-07    0.22094E-05    0.10132E-04    0.30080E-04   -0.16348E-07    0.93902E-10    0.31582E-06    0.19319E-06    0.82370E-01    0.22094E-05    0.31582E-06    0.13237E-01    0.40948E-04    0.68761E-01    0.10132E-04    0.19319E-06    0.40948E-04    0.92607E-03
    38    0.11541E+04    0.17192E+01    0.28601E-04    0.80390E-01    0.68411E-01    0.17192E+01    0.46002E-01   -0.10959E-07    0.18891E-05    0.95432E-05    0.28601E-04   -0.10959E-07    0.88935E-10    0.30829E-06    0.19219E-06    0.80390E-01    0.18891E-05    0.30829E-06    0.13642E-01    0.41771E-04    0.68411E-01    0.95432E-05    0.19219E-06    0.41771E-04    0.97196E-03
    39    0.11720E+04    0.16636E+01    0.27235E-04    0.78530E-01    0.68030E-01    0.16636E+01    0.50165E-01   -0.79169E-08    0.15567E-05    0.93401E-05    0.27235E-04   -0.79169E-08    0.84321E-10    0.30119E-06    0.19109E-06    0.78530E-01    0.15567E-05    0.30119E-06    0.14056E-01    0.42618E-04    0.68030E-01    0.93401E-05    0.19109E-06    0.42618E-04    0.10181E-02
    40    0.11900E+04    0.16006E+01    0.25963E-04    0.76778E-01    0.67616E-01    0.16006E+01    0.54584E-01   -0.58740E-08    0.12469E-05    0.96877E-05    0.25963E-04   -0.58740E-08    0.80027E-10    0.29450E-06    0.18988E-06    0.76778E-01    0.12469E-05    0.29450E-06    0.14478E-01    0.43509E-04    0.67616E-01    0.96877E-05    0.18988E-06    0.43509E-04    0.10643E-02
    41    0.12082E+04    0.15319E+01    0.24763E-04    0.75122E-01    0.67169E-01    0.15319E+01    0.59281E-01   -0.37616E-08    0.98775E-06    0.10677E-04    0.24763E-04   -0.37616E-08    0.76021E-10    0.28816E-06    0.18858E-06    0.75122E-01    0.98775E-06    0.28816E-06    0.14907E-01    0.44463E-04    0.67169E-01    0.10677E-04    0.18858E-06    0.44463E-04    0.11107E-02
    42    0.12264E+04    0.14555E+01    0.23632E-04    0.73552E-01    0.66691E-01    0.14555E+01    0.64257E-01   -0.16256E-08    0.77814E-06    0.12104E-04    0.23632E-04   -0.16256E-08    0.72281E-10    0.28214E-06    0.18719E-06    0.73552E-01    0.77814E-06    0.28214E-06    0.15341E-01    0.45487E-04    0.66691E-01    0.12104E-04    0.18719E-06    0.45487E-04    0.11570E-02
    43    0.12448E+04    0.13687E+01    0.22567E-04    0.72060E-01    0.66183E-01    0.13687E+01    0.69508E-01    0.20895E-09    0.61000E-06    0.13692E-04    0.22567E-04    0.20895E-09    0.68788E-10    0.27639E-06    0.18573E-06    0.72060E-01    0.61000E-06    0.27639E-06    0.15779E-01    0.46589E-04    0.66183E-01    0.13692E-04    0.18573E-06    0.46589E-04    0.12033E-02
    44    0.12632E+04    0.12696E+01    0.21565E-04    0.70636E-01    0.65649E-01    0.12696E+01    0.75014E-01    0.14175E-08    0.47523E-06    0.15164E-04    0.21565E-04    0.14175E-08    0.65520E-10    0.27089E-06    0.18420E-06    0.70636E-01    0.47523E-06    0.27089E-06    0.16219E-01    0.47776E-04    0.65649E-01    0.15164E-04    0.18420E-06    0.47776E-04    0.12495E-02
    45    0.12819E+04    0.11562E+01    0.20623E-04    0.69270E-01    0.65090E-01    0.11562E+01    0.80769E-01    0.16751E-08    0.36574E-06    0.16242E-04    0.20623E-04    0.16751E-08    0.62459E-10    0.26560E-06    0.18260E-06    0.69270E-01    0.36574E-06    0.26560E-06    0.16660E-01    0.49054E-04    0.65090E-01    0.16242E-04    0.18260E-06    0.49054E-04    0.12956E-02
    46    0.13009E+04    0.10255E+01    0.19740E-04    0.67954E-01    0.64510E-01    0.10255E+01    0.86768E-01    0.78018E-09    0.27458E-06    0.16710E-04    0.19740E-04    0.78018E-09    0.59585E-10    0.26049E-06    0.18096E-06    0.67954E-01    0.27458E-06    0.26049E-06    0.17100E-01    0.50428E-04    0.64510E-01    0.16710E-04    0.18096E-06    0.50428E-04    0.13414E-02
    47    0.13201E+04    0.87924E+00    0.18909E-04    0.66682E-01    0.63910E-01    0.87924E+00    0.93014E-01   -0.97679E-09    0.19951E-06    0.16590E-04    0.18909E-04   -0.97679E-09    0.56885E-10    0.25554E-06    0.17926E-06    0.66682E-01    0.19951E-06    0.25554E-06    0.17537E-01    0.51897E-04    0.63910E-01    0.16590E-04    0.17926E-06    0.51897E-04    0.13871E-02
    48    0.13393E+04    0.72311E+00    0.18125E-04    0.65447E-01    0.63292E-01    0.72311E+00    0.99517E-01   -0.31822E-08    0.13947E-06    0.15969E-04    0.18125E-04   -0.31822E-08    0.54347E-10    0.25072E-06    0.17752E-06    0.65447E-01    0.13947E-06    0.25072E-06    0.17969E-01    0.53457E-04    0.63292E-01    0.15969E-04    0.17752E-06    0.53457E-04    0.14324E-02
    49    0.13587E+04    0.56215E+00    0.17382E-04    0.64244E-01    0.62660E-01    0.56215E+00    0.10627E+00   -0.54224E-08    0.93367E-07    0.14928E-04    0.17382E-04   -0.54224E-08    0.51959E-10    0.24602E-06    0.17575E-06    0.64244E-01    0.93367E-07    0.24602E-06    0.18394E-01    0.55107E-04    0.62660E-01    0.14928E-04    0.17575E-06    0.55107E-04    0.14775E-02
    50    0.13785E+04    0.39465E+00    0.16675E-04    0.63067E-01    0.62016E-01    0.39465E+00    0.11325E+00   -0.72838E-08    0.60137E-07    0.13553E-04    0.16675E-04   -0.72838E-08    0.49709E-10    0.24141E-06    0.17395E-06    0.63067E-01    0.60137E-07    0.24141E-06    0.18811E-01    0.56842E-04    0.62016E-01    0.13553E-04    0.17395E-06    0.56842E-04    0.15222E-02
