#    L    TT             EE             TE             PP             TP          
   259    0.51405E+04    0.31170E+01    0.76666E+02    0.17631E+07    0.92912E+03
   260    0.51185E+04    0.32172E+01    0.78130E+02    0.17553E+07    0.92128E+03
   261    0.50961E+04    0.33195E+01    0.79564E+02    0.17475E+07    0.91353E+03
   262    0.50731E+04    0.34241E+01    0.80991E+02    0.17397E+07    0.90588E+03
   263    0.50500E+04    0.35308E+01    0.82403E+02    0.17320E+07    0.89832E+03
   264    0.50263E+04    0.36397E+01    0.83794E+02    0.17243E+07    0.89085E+03
   265    0.50020E+04    0.37508E+01    0.85155E+02    0.17168E+07    0.88347E+03
   266    0.49775E+04    0.38641E+01    0.86508E+02    0.17092E+07    0.87618E+03
   267    0.49525E+04    0.39795E+01    0.87832E+02    0.17017E+07    0.86898E+03
   268    0.49271E+04    0.40971E+01    0.89142E+02    0.16943E+07    0.86187E+03
   269    0.49012E+04    0.42168E+01    0.90430E+02    0.16869E+07    0.85484E+03
   270    0.48750E+04    0.43387E+01    0.91696E+02    0.16795E+07    0.84789E+03
   271    0.48484E+04    0.44625E+01    0.92939E+02    0.16722E+07    0.84103E+03
   272    0.48216E+04    0.45887E+01    0.94154E+02    0.16650E+07    0.83424E+03
   273    0.47944E+04    0.47167E+01    0.95354E+02    0.16578E+07    0.82754E+03
   274    0.47668E+04    0.48469E+01    0.96517E+02    0.16507E+07    0.82092E+03
   275    0.47389E+04    0.49790E+01    0.97665E+02    0.16436E+07    0.81438E+03
   276    0.47108E+04    0.51132E+01    0.98777E+02    0.16365E+07    0.80791E+03
   277    0.46822E+04    0.52494E+01    0.99874E+02    0.16295E+07    0.80152E+03
   278    0.46534E+04    0.53875E+01    0.10093E+03    0.16226E+07    0.79520E+03
   279    0.46243E+04    0.55276E+01    0.10197E+03    0.16157E+07    0.78895E+03
   280    0.45949E+04    0.56695E+01    0.10298E+03    0.16088E+07    0.78278E+03
   281    0.45654E+04    0.58135E+01    0.10396E+03    0.16020E+07    0.77668E+03
   282    0.45354E+04    0.59591E+01    0.10491E+03    0.15952E+07    0.77065E+03
   283    0.45053E+04    0.61065E+01    0.10584E+03    0.15885E+07    0.76468E+03
   284    0.44749E+04    0.62559E+01    0.10673E+03    0.15818E+07    0.75878E+03
   285    0.44443E+04    0.64070E+01    0.10759E+03    0.15752E+07    0.75295E+03
   286    0.44135E+04    0.65598E+01    0.10842E+03    0.15686E+07    0.74718E+03
   287    0.43824E+04    0.67143E+01    0.10922E+03    0.15620E+07    0.74148E+03
   288    0.43511E+04    0.68705E+01    0.10999E+03    0.15555E+07    0.73584E+03
   289    0.43197E+04    0.70283E+01    0.11073E+03    0.15490E+07    0.73026E+03
