#    L    TT             EE             BB             TE             PP             TP             EP          
   134    0.37573E+04    0.10443E+01    0.00000E+00   -0.41078E+02    0.75429E-07    0.99133E-05   -0.15947E-07
   135    0.37910E+04    0.10466E+01    0.00000E+00   -0.41423E+02    0.74955E-07    0.11140E-04   -0.17921E-07
   136    0.38246E+04    0.10484E+01    0.00000E+00   -0.41748E+02    0.74484E-07    0.11943E-04   -0.19212E-07
   137    0.38581E+04    0.10498E+01    0.00000E+00   -0.42057E+02    0.74018E-07    0.12359E-04   -0.19882E-07
   138    0.38916E+04    0.10506E+01    0.00000E+00   -0.42347E+02    0.73555E-07    0.12428E-04   -0.19993E-07
   139    0.39248E+04    0.10511E+01    0.00000E+00   -0.42617E+02    0.73097E-07    0.12187E-04   -0.19605E-07
   140    0.39581E+04    0.10510E+01    0.00000E+00   -0.42870E+02    0.72642E-07    0.11675E-04   -0.18781E-07
   141    0.39912E+04    0.10505E+01    0.00000E+00   -0.43101E+02    0.72191E-07    0.10929E-04   -0.17582E-07
   142    0.40243E+04    0.10495E+01    0.00000E+00   -0.43313E+02    0.71745E-07    0.99883E-05   -0.16068E-07
   143    0.40572E+04    0.10480E+01    0.00000E+00   -0.43504E+02    0.71302E-07    0.88901E-05   -0.14301E-07
   144    0.40900E+04    0.10461E+01    0.00000E+00   -0.43676E+02    0.70863E-07    0.76729E-05   -0.12343E-07
   145    0.41226E+04    0.10438E+01    0.00000E+00   -0.43826E+02    0.70427E-07    0.63746E-05   -0.10254E-07
   146    0.41553E+04    0.10410E+01    0.00000E+00   -0.43954E+02    0.69996E-07    0.50333E-05   -0.80969E-08
   147    0.41876E+04    0.10378E+01    0.00000E+00   -0.44060E+02    0.69568E-07    0.36872E-05   -0.59315E-08
   148    0.42198E+04    0.10341E+01    0.00000E+00   -0.44145E+02    0.69144E-07    0.23743E-05   -0.38194E-08
   149    0.42519E+04    0.10299E+01    0.00000E+00   -0.44208E+02    0.68724E-07    0.11325E-05   -0.18218E-08
   150    0.42836E+04    0.10255E+01    0.00000E+00   -0.44245E+02    0.68307E-07    0.00000E+00    0.00000E+00
   151    0.43153E+04    0.10206E+01    0.00000E+00   -0.44261E+02    0.67894E-07   -0.99287E-06    0.15972E-08
   152    0.43467E+04    0.10152E+01    0.00000E+00   -0.44253E+02    0.67485E-07   -0.18460E-05    0.29695E-08
   153    0.43779E+04    0.10094E+01    0.00000E+00   -0.44220E+02    0.67079E-07   -0.25667E-05    0.41289E-08
   154    0.44089E+04    0.10033E+01    0.00000E+00   -0.44164E+02    0.66677E-07   -0.31626E-05    0.50875E-08
   155    0.44396E+04    0.99686E+00    0.00000E+00   -0.44084E+02    0.66279E-07   -0.36410E-05    0.58572E-08
   156    0.44700E+04    0.99006E+00    0.00000E+00   -0.43979E+02    0.65883E-07   -0.40095E-05    0.64499E-08
   157    0.45004E+04    0.98291E+00    0.00000E+00   -0.43849E+02    0.65492E-07   -0.42754E-05    0.68776E-08
   158    0.45304E+04    0.97548E+00    0.00000E+00   -0.43695E+02    0.65104E-07   -0.44462E-05    0.71524E-08
   159    0.45601E+04    0.96763E+00    0.00000E+00   -0.43515E+02    0.64719E-07   -0.45294E-05    0.72862E-08
   160    0.45896E+04    0.95949E+00    0.00000E+00   -0.43309E+02    0.64337E-07   -0.45323E-05    0.72909E-08
   161    0.46189E+04    0.95116E+00    0.00000E+00   -0.43079E+02    0.63959E-07   -0.44624E-05    0.71785E-08
   162    0.46479E+04    0.94247E+00    0.00000E+00   -0.42823E+02    0.63585E-07   -0.43272E-05    0.69610E-08
   163    0.46767E+04    0.93350E+00    0.00000E+00   -0.42542E+02    0.63213E-07   -0.41341E-05    0.66503E-08
   164    0.47051E+04    0.92433E+00    0.00000E+00   -0.42235E+02    0.62845E-07   -0.38904E-05    0.62583E-08
   165    0.47333E+04    0.91488E+00    0.00000E+00   -0.41902E+02    0.62480E-07   -0.36037E-05    0.57971E-08
   166    0.47613E+04    0.90529E+00    0.00000E+00   -0.41543E+02    0.62119E-07   -0.32813E-05    0.52785E-08
