#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    46    0.13009E+04    0.10256E+01    0.19740E-04    0.67804E-01    0.64527E-01    0.10256E+01    0.86768E-01    0.78012E-09    0.25128E-06    0.16737E-04    0.19740E-04    0.78012E-09    0.59585E-10    0.26016E-06    0.18094E-06    0.67804E-01    0.25128E-06    0.26016E-06    0.17282E-01    0.47530E-04    0.64527E-01    0.16737E-04    0.18094E-06    0.47530E-04    0.13518E-02
    47    0.13201E+04    0.87934E+00    0.18909E-04    0.66543E-01    0.63925E-01    0.87934E+00    0.93014E-01   -0.97688E-09    0.18051E-06    0.16598E-04    0.18909E-04   -0.97688E-09    0.56885E-10    0.25523E-06    0.17924E-06    0.66543E-01    0.18051E-06    0.25523E-06    0.17717E-01    0.49060E-04    0.63925E-01    0.16598E-04    0.17924E-06    0.49060E-04    0.13974E-02
    48    0.13393E+04    0.72321E+00    0.18125E-04    0.65319E-01    0.63305E-01    0.72321E+00    0.99518E-01   -0.31823E-08    0.12452E-06    0.15953E-04    0.18125E-04   -0.31823E-08    0.54347E-10    0.25044E-06    0.17750E-06    0.65319E-01    0.12452E-06    0.25044E-06    0.18147E-01    0.50679E-04    0.63305E-01    0.15953E-04    0.17750E-06    0.50679E-04    0.14427E-02
    49    0.13587E+04    0.56226E+00    0.17382E-04    0.64126E-01    0.62671E-01    0.56226E+00    0.10627E+00   -0.54225E-08    0.82045E-07    0.14891E-04    0.17382E-04   -0.54225E-08    0.51959E-10    0.24576E-06    0.17573E-06    0.64126E-01    0.82045E-07    0.24576E-06    0.18570E-01    0.52384E-04    0.62671E-01    0.14891E-04    0.17573E-06    0.52384E-04    0.14877E-02
    50    0.13785E+04    0.39477E+00    0.16675E-04    0.62957E-01    0.62025E-01    0.39477E+00    0.11325E+00   -0.72840E-08    0.51832E-07    0.13503E-04    0.16675E-04   -0.72840E-08    0.49709E-10    0.24118E-06    0.17392E-06    0.62957E-01    0.51832E-07    0.24118E-06    0.18984E-01    0.54172E-04    0.62025E-01    0.13503E-04    0.17392E-06    0.54172E-04    0.15323E-02
    51    0.13985E+04    0.21718E+00    0.15999E-04    0.61809E-01    0.61369E-01    0.21718E+00    0.12043E+00   -0.84446E-08    0.32401E-07    0.11882E-04    0.15999E-04   -0.84446E-08    0.47587E-10    0.23667E-06    0.17209E-06    0.61809E-01    0.32401E-07    0.23667E-06    0.19388E-01    0.56038E-04    0.61369E-01    0.11882E-04    0.17209E-06    0.56038E-04    0.15766E-02
    52    0.14189E+04    0.24292E-01    0.15355E-04    0.60677E-01    0.60705E-01    0.24292E-01    0.12790E+00   -0.89486E-08    0.21410E-07    0.10149E-04    0.15355E-04   -0.89486E-08    0.45584E-10    0.23223E-06    0.17025E-06    0.60677E-01    0.21410E-07    0.23223E-06    0.19779E-01    0.57972E-04    0.60705E-01    0.10149E-04    0.17025E-06    0.57972E-04    0.16205E-02
    53    0.14392E+04   -0.18770E+00    0.14743E-04    0.59561E-01    0.60036E-01   -0.18770E+00    0.13580E+00   -0.89319E-08    0.16302E-07    0.84327E-05    0.14743E-04   -0.89319E-08    0.43692E-10    0.22785E-06    0.16838E-06    0.59561E-01    0.16302E-07    0.22785E-06    0.20157E-01    0.59963E-04    0.60036E-01    0.84327E-05    0.16838E-06    0.59963E-04    0.16641E-02
    54    0.14595E+04   -0.41460E+00    0.14165E-04    0.58457E-01    0.59363E-01   -0.41460E+00    0.14412E+00   -0.85302E-08    0.14517E-07    0.68583E-05    0.14165E-04   -0.85302E-08    0.41903E-10    0.22353E-06    0.16650E-06    0.58457E-01    0.14517E-07    0.22353E-06    0.20520E-01    0.61998E-04    0.59363E-01    0.68583E-05    0.16650E-06    0.61998E-04    0.17072E-02
    55    0.14800E+04   -0.65212E+00    0.13621E-04    0.57364E-01    0.58688E-01   -0.65212E+00    0.15283E+00   -0.78795E-08    0.13497E-07    0.55532E-05    0.13621E-04   -0.78795E-08    0.40210E-10    0.21926E-06    0.16462E-06    0.57364E-01    0.13497E-07    0.21926E-06    0.20868E-01    0.64066E-04    0.58688E-01    0.55532E-05    0.16462E-06    0.64066E-04    0.17499E-02
    56    0.15008E+04   -0.90205E+00    0.13113E-04    0.56279E-01    0.58013E-01   -0.90205E+00    0.16178E+00   -0.70984E-08    0.11235E-07    0.46181E-05    0.13113E-04   -0.70984E-08    0.38606E-10    0.21502E-06    0.16273E-06    0.56279E-01    0.11235E-07    0.21502E-06    0.21198E-01    0.66156E-04    0.58013E-01    0.46181E-05    0.16273E-06    0.66156E-04    0.17922E-02
    57    0.15219E+04   -0.11642E+01    0.12637E-04    0.55204E-01    0.57339E-01   -0.11642E+01    0.17087E+00   -0.62369E-08    0.79172E-08    0.40491E-05    0.12637E-04   -0.62369E-08    0.37085E-10    0.21084E-06    0.16084E-06    0.55204E-01    0.79172E-08    0.21084E-06    0.21511E-01    0.68253E-04    0.57339E-01    0.40491E-05    0.16084E-06    0.68253E-04    0.18341E-02
    58    0.15432E+04   -0.14392E+01    0.12189E-04    0.54137E-01    0.56667E-01   -0.14392E+01    0.18011E+00   -0.53280E-08    0.42823E-08    0.38161E-05    0.12189E-04   -0.53280E-08    0.35643E-10    0.20669E-06    0.15896E-06    0.54137E-01    0.42823E-08    0.20669E-06    0.21806E-01    0.70345E-04    0.56667E-01    0.38161E-05    0.15896E-06    0.70345E-04    0.18755E-02
    59    0.15648E+04   -0.17276E+01    0.11764E-04    0.53079E-01    0.55997E-01   -0.17276E+01    0.18954E+00   -0.44045E-08    0.10675E-08    0.38890E-05    0.11764E-04   -0.44045E-08    0.34274E-10    0.20259E-06    0.15707E-06    0.53079E-01    0.10675E-08    0.20259E-06    0.22085E-01    0.72417E-04    0.55997E-01    0.38890E-05    0.15707E-06    0.72417E-04    0.19164E-02
