#    L    TT             EE             BB             TE          
   222    0.55755E+04    0.90811E+00    0.14890E-01    0.17520E+02
   223    0.55740E+04    0.93511E+00    0.15035E-01    0.19096E+02
   224    0.55720E+04    0.96363E+00    0.15180E-01    0.20678E+02
   225    0.55693E+04    0.99384E+00    0.15326E-01    0.22271E+02
   226    0.55660E+04    0.10257E+01    0.15472E-01    0.23869E+02
   227    0.55621E+04    0.10593E+01    0.15618E-01    0.25476E+02
   228    0.55577E+04    0.10945E+01    0.15765E-01    0.27089E+02
   229    0.55526E+04    0.11315E+01    0.15911E-01    0.28706E+02
   230    0.55470E+04    0.11702E+01    0.16058E-01    0.30329E+02
   231    0.55406E+04    0.12107E+01    0.16206E-01    0.31957E+02
   232    0.55337E+04    0.12530E+01    0.16353E-01    0.33589E+02
   233    0.55263E+04    0.12973E+01    0.16501E-01    0.35222E+02
   234    0.55181E+04    0.13433E+01    0.16648E-01    0.36858E+02
   235    0.55094E+04    0.13913E+01    0.16796E-01    0.38495E+02
   236    0.55000E+04    0.14411E+01    0.16944E-01    0.40133E+02
   237    0.54900E+04    0.14929E+01    0.17093E-01    0.41771E+02
   238    0.54795E+04    0.15468E+01    0.17241E-01    0.43409E+02
   239    0.54684E+04    0.16025E+01    0.17389E-01    0.45046E+02
   240    0.54566E+04    0.16602E+01    0.17537E-01    0.46679E+02
   241    0.54444E+04    0.17199E+01    0.17686E-01    0.48310E+02
   242    0.54316E+04    0.17816E+01    0.17834E-01    0.49938E+02
   243    0.54181E+04    0.18455E+01    0.17982E-01    0.51562E+02
   244    0.54041E+04    0.19113E+01    0.18131E-01    0.53181E+02
   245    0.53895E+04    0.19793E+01    0.18279E-01    0.54793E+02
   246    0.53744E+04    0.20493E+01    0.18427E-01    0.56400E+02
   247    0.53588E+04    0.21214E+01    0.18575E-01    0.58000E+02
   248    0.53426E+04    0.21958E+01    0.18723E-01    0.59592E+02
   249    0.53259E+04    0.22721E+01    0.18871E-01    0.61176E+02
   250    0.53086E+04    0.23508E+01    0.19018E-01    0.62749E+02
   251    0.52909E+04    0.24314E+01    0.19166E-01    0.64314E+02
   252    0.52726E+04    0.25143E+01    0.19313E-01    0.65869E+02
   253    0.52539E+04    0.25992E+01    0.19460E-01    0.67411E+02
   254    0.52347E+04    0.26864E+01    0.19607E-01    0.68942E+02
   255    0.52149E+04    0.27757E+01    0.19754E-01    0.70460E+02
   256    0.51947E+04    0.28673E+01    0.19901E-01    0.71967E+02
   257    0.51741E+04    0.29608E+01    0.20047E-01    0.73454E+02
   258    0.51529E+04    0.30567E+01    0.20193E-01    0.74933E+02
   259    0.51313E+04    0.31547E+01    0.20339E-01    0.76390E+02
   260    0.51094E+04    0.32549E+01    0.20485E-01    0.77840E+02
   261    0.50869E+04    0.33572E+01    0.20630E-01    0.79260E+02
   262    0.50639E+04    0.34618E+01    0.20775E-01    0.80673E+02
   263    0.50408E+04    0.35685E+01    0.20920E-01    0.82071E+02
   264    0.50170E+04    0.36774E+01    0.21065E-01    0.83447E+02
   265    0.49928E+04    0.37883E+01    0.21209E-01    0.84793E+02
   266    0.49683E+04    0.39016E+01    0.21353E-01    0.86132E+02
   267    0.49432E+04    0.40168E+01    0.21497E-01    0.87442E+02
   268    0.49178E+04    0.41343E+01    0.21640E-01    0.88737E+02
   269    0.48919E+04    0.42538E+01    0.21783E-01    0.90010E+02
   270    0.48657E+04    0.43754E+01    0.21926E-01    0.91261E+02
   271    0.48392E+04    0.44991E+01    0.22068E-01    0.92489E+02
   272    0.48124E+04    0.46250E+01    0.22210E-01    0.93689E+02
