#    L    TT             EE             TE             PP             TP          
   214    0.55727E+04    0.72153E+00    0.51870E+01    0.22180E+07   -0.13832E+02
   215    0.55762E+04    0.73655E+00    0.66730E+01    0.22070E+07   -0.14143E+02
   216    0.55790E+04    0.75279E+00    0.81736E+01    0.21962E+07   -0.14380E+02
   217    0.55813E+04    0.77043E+00    0.96869E+01    0.21855E+07   -0.14546E+02
   218    0.55829E+04    0.78946E+00    0.11213E+02    0.21748E+07   -0.14644E+02
   219    0.55840E+04    0.80988E+00    0.12753E+02    0.21643E+07   -0.14677E+02
   220    0.55844E+04    0.83184E+00    0.14302E+02    0.21538E+07   -0.14648E+02
   221    0.55843E+04    0.85526E+00    0.15863E+02    0.21434E+07   -0.14560E+02
   222    0.55836E+04    0.88029E+00    0.17434E+02    0.21331E+07   -0.14416E+02
   223    0.55822E+04    0.90686E+00    0.19016E+02    0.21228E+07   -0.14219E+02
   224    0.55803E+04    0.93495E+00    0.20606E+02    0.21127E+07   -0.13972E+02
   225    0.55777E+04    0.96474E+00    0.22205E+02    0.21026E+07   -0.13679E+02
   226    0.55746E+04    0.99620E+00    0.23811E+02    0.20926E+07   -0.13342E+02
   227    0.55707E+04    0.10293E+01    0.25425E+02    0.20827E+07   -0.12964E+02
   228    0.55664E+04    0.10642E+01    0.27045E+02    0.20729E+07   -0.12548E+02
   229    0.55615E+04    0.11007E+01    0.28671E+02    0.20631E+07   -0.12098E+02
   230    0.55559E+04    0.11391E+01    0.30302E+02    0.20534E+07   -0.11616E+02
   231    0.55497E+04    0.11792E+01    0.31938E+02    0.20438E+07   -0.11105E+02
   232    0.55429E+04    0.12211E+01    0.33578E+02    0.20343E+07   -0.10569E+02
   233    0.55355E+04    0.12650E+01    0.35220E+02    0.20248E+07   -0.10010E+02
   234    0.55274E+04    0.13107E+01    0.36864E+02    0.20155E+07   -0.94320E+01
   235    0.55188E+04    0.13583E+01    0.38511E+02    0.20061E+07   -0.88373E+01
   236    0.55095E+04    0.14077E+01    0.40158E+02    0.19969E+07   -0.82291E+01
   237    0.54996E+04    0.14592E+01    0.41805E+02    0.19877E+07   -0.76105E+01
   238    0.54892E+04    0.15127E+01    0.43453E+02    0.19786E+07   -0.69845E+01
   239    0.54782E+04    0.15681E+01    0.45099E+02    0.19696E+07   -0.63542E+01
   240    0.54665E+04    0.16254E+01    0.46743E+02    0.19606E+07   -0.57225E+01
   241    0.54543E+04    0.16849E+01    0.48384E+02    0.19517E+07   -0.50925E+01
   242    0.54415E+04    0.17463E+01    0.50022E+02    0.19429E+07   -0.44673E+01
   243    0.54282E+04    0.18099E+01    0.51656E+02    0.19341E+07   -0.38499E+01
   244    0.54142E+04    0.18755E+01    0.53286E+02    0.19254E+07   -0.32432E+01
   245    0.53997E+04    0.19432E+01    0.54909E+02    0.19168E+07   -0.26504E+01
   246    0.53846E+04    0.20130E+01    0.56527E+02    0.19082E+07   -0.20744E+01
   247    0.53690E+04    0.20848E+01    0.58138E+02    0.18997E+07   -0.15184E+01
   248    0.53529E+04    0.21590E+01    0.59741E+02    0.18913E+07   -0.98529E+00
   249    0.53362E+04    0.22352E+01    0.61336E+02    0.18829E+07   -0.47815E+00
   250    0.53190E+04    0.23136E+01    0.62922E+02    0.18745E+07    0.00000E+00
   251    0.53014E+04    0.23941E+01    0.64498E+02    0.18663E+07    0.44676E+00
   252    0.52830E+04    0.24768E+01    0.66065E+02    0.18581E+07    0.86230E+00
   253    0.52644E+04    0.25616E+01    0.67619E+02    0.18499E+07    0.12474E+01
   254    0.52452E+04    0.26487E+01    0.69162E+02    0.18418E+07    0.16030E+01
   255    0.52255E+04    0.27378E+01    0.70693E+02    0.18338E+07    0.19297E+01
   256    0.52053E+04    0.28294E+01    0.72212E+02    0.18258E+07    0.22285E+01
