#    L    TxT            TxE            TxP            TxW1           TxW2           ExT            ExE            ExP            ExW1           ExW2           PxT            PxE            PxP            PxW1           PxW2           W1xT           W1xE           W1xP           W1xW1          W1xW2          W2xT           W2xE           W2xP           W2xW1          W2xW2       
    39    0.11720E+04    0.16640E+01    0.27235E-04    0.11389E-02    0.68237E-05    0.16640E+01    0.50165E-01   -0.79248E-08    0.36912E-07    0.18865E-12    0.27235E-04   -0.79248E-08    0.84350E-10    0.46196E-08    0.11081E-09    0.11389E-02    0.36912E-07    0.46196E-08    0.18179E-05    0.77566E-07    0.68237E-05    0.18865E-12    0.11081E-09    0.77566E-07    0.33364E-07
    40    0.11900E+04    0.16010E+01    0.25962E-04    0.11103E-02    0.64985E-05    0.16010E+01    0.54584E-01   -0.58887E-08    0.34579E-07    0.12902E-12    0.25962E-04   -0.58887E-08    0.80054E-10    0.45001E-08    0.10727E-09    0.11103E-02    0.34579E-07    0.45001E-08    0.18593E-05    0.78950E-07    0.64985E-05    0.12902E-12    0.10727E-09    0.78950E-07    0.34029E-07
    41    0.12082E+04    0.15322E+01    0.24763E-04    0.10829E-02    0.61894E-05    0.15322E+01    0.59281E-01   -0.37755E-08    0.32306E-07    0.11290E-12    0.24763E-04   -0.37755E-08    0.76048E-10    0.43858E-08    0.10393E-09    0.10829E-02    0.32306E-07    0.43858E-08    0.19002E-05    0.80331E-07    0.61894E-05    0.11290E-12    0.10393E-09    0.80331E-07    0.34695E-07
    42    0.12265E+04    0.14559E+01    0.23632E-04    0.10566E-02    0.58952E-05    0.14559E+01    0.64257E-01   -0.16333E-08    0.30090E-07    0.13921E-12    0.23632E-04   -0.16333E-08    0.72308E-10    0.42764E-08    0.10078E-09    0.10566E-02    0.30090E-07    0.42764E-08    0.19408E-05    0.81712E-07    0.58952E-05    0.13921E-12    0.10078E-09    0.81712E-07    0.35362E-07
    43    0.12448E+04    0.13691E+01    0.22567E-04    0.10314E-02    0.56157E-05    0.13691E+01    0.69508E-01    0.20963E-09    0.27880E-07    0.19086E-12    0.22567E-04    0.20963E-09    0.68814E-10    0.41717E-08    0.97802E-10    0.10314E-02    0.27880E-07    0.41717E-08    0.19809E-05    0.83091E-07    0.56157E-05    0.19086E-12    0.97802E-10    0.83091E-07    0.36031E-07
    44    0.12632E+04    0.12700E+01    0.21565E-04    0.10072E-02    0.53505E-05    0.12700E+01    0.75015E-01    0.14250E-08    0.25629E-07    0.25077E-12    0.21565E-04    0.14250E-08    0.65546E-10    0.40714E-08    0.94990E-10    0.10072E-02    0.25629E-07    0.40714E-08    0.20207E-05    0.84471E-07    0.53505E-05    0.25077E-12    0.94990E-10    0.84471E-07    0.36702E-07
    45    0.12819E+04    0.11566E+01    0.20623E-04    0.98403E-03    0.50991E-05    0.11566E+01    0.80769E-01    0.16844E-08    0.23288E-07    0.30183E-12    0.20623E-04    0.16844E-08    0.62484E-10    0.39752E-08    0.92329E-10    0.98403E-03    0.23288E-07    0.39752E-08    0.20600E-05    0.85851E-07    0.50991E-05    0.30183E-12    0.92329E-10    0.85851E-07    0.37373E-07
    46    0.13009E+04    0.10260E+01    0.19740E-04    0.96178E-03    0.48612E-05    0.10260E+01    0.86768E-01    0.78377E-09    0.20834E-07    0.32971E-12    0.19740E-04    0.78377E-09    0.59609E-10    0.38829E-08    0.89806E-10    0.96178E-03    0.20834E-07    0.38829E-08    0.20990E-05    0.87233E-07    0.48612E-05    0.32971E-12    0.89806E-10    0.87233E-07    0.38046E-07
    47    0.13201E+04    0.87974E+00    0.18909E-04    0.94040E-03    0.46359E-05    0.87974E+00    0.93014E-01   -0.98401E-09    0.18343E-07    0.33096E-12    0.18909E-04   -0.98401E-09    0.56908E-10    0.37944E-08    0.87412E-10    0.94040E-03    0.18343E-07    0.37944E-08    0.21376E-05    0.88616E-07    0.46359E-05    0.33096E-12    0.87412E-10    0.88616E-07    0.38721E-07
    48    0.13393E+04    0.72361E+00    0.18125E-04    0.91985E-03    0.44223E-05    0.72361E+00    0.99518E-01   -0.32019E-08    0.15917E-07    0.30490E-12    0.18125E-04   -0.32019E-08    0.54370E-10    0.37093E-08    0.85140E-10    0.91985E-03    0.15917E-07    0.37093E-08    0.21757E-05    0.90001E-07    0.44223E-05    0.30490E-12    0.85140E-10    0.90001E-07    0.39397E-07
    49    0.13587E+04    0.56267E+00    0.17382E-04    0.90008E-03    0.42196E-05    0.56267E+00    0.10627E+00   -0.54530E-08    0.13659E-07    0.25083E-12    0.17382E-04   -0.54530E-08    0.51981E-10    0.36276E-08    0.82981E-10    0.90008E-03    0.13659E-07    0.36276E-08    0.22135E-05    0.91389E-07    0.42196E-05    0.25083E-12    0.82981E-10    0.91389E-07    0.40074E-07
    50    0.13785E+04    0.39518E+00    0.16675E-04    0.88104E-03    0.40267E-05    0.39518E+00    0.11325E+00   -0.73200E-08    0.11669E-07    0.16806E-12    0.16675E-04   -0.73200E-08    0.49731E-10    0.35490E-08    0.80926E-10    0.88104E-03    0.11669E-07    0.35490E-08    0.22509E-05    0.92780E-07    0.40267E-05    0.16806E-12    0.80926E-10    0.92780E-07    0.40753E-07
