#    L    TT             EE             TE             PP             TP          
   179    0.50906E+04    0.77123E+00   -0.34466E+02    0.26632E+07    0.14893E+02
   180    0.51131E+04    0.76111E+00   -0.33736E+02    0.26486E+07    0.17215E+02
   181    0.51350E+04    0.75115E+00   -0.32980E+02    0.26341E+07    0.19037E+02
   182    0.51566E+04    0.74142E+00   -0.32197E+02    0.26198E+07    0.20392E+02
   183    0.51775E+04    0.73185E+00   -0.31389E+02    0.26056E+07    0.21309E+02
   184    0.51982E+04    0.72251E+00   -0.30554E+02    0.25915E+07    0.21820E+02
   185    0.52183E+04    0.71354E+00   -0.29695E+02    0.25775E+07    0.21956E+02
   186    0.52376E+04    0.70482E+00   -0.28809E+02    0.25636E+07    0.21748E+02
   187    0.52568E+04    0.69647E+00   -0.27897E+02    0.25499E+07    0.21226E+02
   188    0.52755E+04    0.68848E+00   -0.26961E+02    0.25363E+07    0.20422E+02
   189    0.52936E+04    0.68089E+00   -0.26000E+02    0.25228E+07    0.19366E+02
   190    0.53115E+04    0.67375E+00   -0.25015E+02    0.25094E+07    0.18090E+02
   191    0.53285E+04    0.66708E+00   -0.24004E+02    0.24961E+07    0.16624E+02
   192    0.53451E+04    0.66090E+00   -0.22969E+02    0.24829E+07    0.15000E+02
   193    0.53612E+04    0.65526E+00   -0.21911E+02    0.24698E+07    0.13247E+02
   194    0.53769E+04    0.65018E+00   -0.20829E+02    0.24569E+07    0.11398E+02
   195    0.53920E+04    0.64570E+00   -0.19724E+02    0.24440E+07    0.94830E+01
   196    0.54065E+04    0.64186E+00   -0.18595E+02    0.24313E+07    0.75327E+01
   197    0.54205E+04    0.63870E+00   -0.17445E+02    0.24186E+07    0.55784E+01
   198    0.54341E+04    0.63624E+00   -0.16272E+02    0.24061E+07    0.36508E+01
   199    0.54471E+04    0.63452E+00   -0.15078E+02    0.23937E+07    0.17811E+01
   200    0.54596E+04    0.63357E+00   -0.13862E+02    0.23814E+07    0.00000E+00
   201    0.54716E+04    0.63345E+00   -0.12625E+02    0.23691E+07   -0.16671E+01
   202    0.54830E+04    0.63415E+00   -0.11367E+02    0.23570E+07   -0.32177E+01
   203    0.54938E+04    0.63575E+00   -0.10088E+02    0.23450E+07   -0.46547E+01
   204    0.55040E+04    0.63827E+00   -0.87906E+01    0.23331E+07   -0.59812E+01
   205    0.55137E+04    0.64174E+00   -0.74732E+01    0.23212E+07   -0.72002E+01
   206    0.55227E+04    0.64620E+00   -0.61366E+01    0.23095E+07   -0.83148E+01
   207    0.55312E+04    0.65167E+00   -0.47813E+01    0.22978E+07   -0.93279E+01
