#    L    TT             EE             BB             TE             PP             TP             EP          
   102    0.27005E+04    0.76027E+00    0.00000E+00   -0.23837E+02    0.92791E-07    0.16039E-03   -0.23150E-06
   103    0.27316E+04    0.77377E+00    0.00000E+00   -0.24473E+02    0.92187E-07    0.13652E-03   -0.20181E-06
   104    0.27630E+04    0.78713E+00    0.00000E+00   -0.25106E+02    0.91588E-07    0.11325E-03   -0.17094E-06
   105    0.27945E+04    0.80027E+00    0.00000E+00   -0.25738E+02    0.90992E-07    0.90825E-04   -0.13957E-06
   106    0.28262E+04    0.81327E+00    0.00000E+00   -0.26369E+02    0.90400E-07    0.69494E-04   -0.10841E-06
   107    0.28578E+04    0.82597E+00    0.00000E+00   -0.26997E+02    0.89812E-07    0.49500E-04   -0.78177E-07
   108    0.28898E+04    0.83846E+00    0.00000E+00   -0.27622E+02    0.89228E-07    0.31089E-04   -0.49560E-07
   109    0.29220E+04    0.85066E+00    0.00000E+00   -0.28244E+02    0.88647E-07    0.14507E-04   -0.23267E-07
   110    0.29542E+04    0.86258E+00    0.00000E+00   -0.28861E+02    0.88071E-07    0.00000E+00    0.00000E+00
   111    0.29866E+04    0.87428E+00    0.00000E+00   -0.29474E+02    0.87498E-07   -0.12253E-04    0.19695E-07
   112    0.30191E+04    0.88569E+00    0.00000E+00   -0.30082E+02    0.86929E-07   -0.22335E-04    0.35899E-07
   113    0.30519E+04    0.89681E+00    0.00000E+00   -0.30685E+02    0.86363E-07   -0.30391E-04    0.48849E-07
   114    0.30847E+04    0.90757E+00    0.00000E+00   -0.31281E+02    0.85802E-07   -0.36570E-04    0.58781E-07
   115    0.31177E+04    0.91812E+00    0.00000E+00   -0.31871E+02    0.85245E-07   -0.41020E-04    0.65932E-07
   116    0.31507E+04    0.92824E+00    0.00000E+00   -0.32453E+02    0.84691E-07   -0.43886E-04    0.70539E-07
   117    0.31841E+04    0.93799E+00    0.00000E+00   -0.33027E+02    0.84141E-07   -0.45316E-04    0.72838E-07
   118    0.32175E+04    0.94754E+00    0.00000E+00   -0.33593E+02    0.83595E-07   -0.45457E-04    0.73065E-07
   119    0.32510E+04    0.95672E+00    0.00000E+00   -0.34150E+02    0.83054E-07   -0.44456E-04    0.71456E-07
   120    0.32846E+04    0.96540E+00    0.00000E+00   -0.34697E+02    0.82516E-07   -0.42459E-04    0.68247E-07
   121    0.33182E+04    0.97386E+00    0.00000E+00   -0.35234E+02    0.81982E-07   -0.39614E-04    0.63674E-07
   122    0.33518E+04    0.98182E+00    0.00000E+00   -0.35761E+02    0.81452E-07   -0.36067E-04    0.57973E-07
   123    0.33855E+04    0.98935E+00    0.00000E+00   -0.36278E+02    0.80927E-07   -0.31965E-04    0.51379E-07
   124    0.34193E+04    0.99651E+00    0.00000E+00   -0.36781E+02    0.80405E-07   -0.27454E-04    0.44128E-07
   125    0.34530E+04    0.10033E+01    0.00000E+00   -0.37272E+02    0.79888E-07   -0.22680E-04    0.36455E-07
   126    0.34869E+04    0.10096E+01    0.00000E+00   -0.37752E+02    0.79375E-07   -0.17791E-04    0.28596E-07
   127    0.35207E+04    0.10155E+01    0.00000E+00   -0.38218E+02    0.78866E-07   -0.12932E-04    0.20786E-07
   128    0.35544E+04    0.10210E+01    0.00000E+00   -0.38672E+02    0.78361E-07   -0.82496E-05    0.13260E-07
   129    0.35883E+04    0.10260E+01    0.00000E+00   -0.39111E+02    0.77861E-07   -0.38902E-05    0.62529E-08
   130    0.36221E+04    0.10305E+01    0.00000E+00   -0.39534E+02    0.77365E-07    0.00000E+00    0.00000E+00
   131    0.36559E+04    0.10347E+01    0.00000E+00   -0.39944E+02    0.76873E-07    0.33056E-05   -0.53132E-08
   132    0.36897E+04    0.10383E+01    0.00000E+00   -0.40338E+02    0.76385E-07    0.60341E-05   -0.96989E-08
   133    0.37235E+04    0.10416E+01    0.00000E+00   -0.40717E+02    0.75902E-07    0.82239E-05   -0.13219E-07
